Player,Batting average,Hits,Home runs,Runs batted in,Stolen bases,Doubles,Win-loss record,Earned run average,Strikeouts,Shutouts,On-base percentage,Saves,Runs,WHIP
Barry Bonds,0.298,"2,935",762,"1,996",514,,,,,,,,,
Frank Thomas,0.301,"2,468",521,"1,704",,,,,,,,,,
Barry Bonds,0.298,"2,935",762,"1,996",514,,,,,,,,,
Frank Thomas,0.301,"2,468",521,"1,704",,,,,,,,,,
Jeff Bagwell,0.297,"2,314",449,"1,529",,,,,,,,,,
Mo Vaughn,0.293,,328,"1,064",,,,,,,,,,
Barry Larkin,0.295,"2,340",198,960,379,,,,,,,,,
Juan González,0.295,,434,"1,404",,,,,,,,,,
Ken Caminiti,0.272,,239,983,,,,,,,,,,
Ken Griffey Jr.,0.284,"2,781",630,"1,836",,,,,,,,,,
Larry Walker,0.313,"2,160",383,"1,311",,,,,,,,,,
Juan González,0.295,,434,"1,404",,,,,,,,,,
Sammy Sosa,0.273,"2,408",609,"1,667",,,,,,,,,,
Sammy Sosa,0.296,"2,844",311,"1,332",,,,,,,,,,
Chipper Jones,0.303,"2,726",468,"1,623",,,,,,,,,,
Jason Giambi,0.277,"2,010",440,"1,441",,,,,,,,,,
Jeff Kent,0.29,"2,461",377,"1,518",,,,,,,,,,
Ichiro Suzuki,,,,,,,,,,,,,,
Barry Bonds,0.298,"2,935",762,"1,996",514,,,,,,,,,
Miguel Tejada,0.285,"2,407",307,"1,302",,,,,,,,,,
Barry Bonds,0.298,"2,935",762,"1,996",514,,,,,,,,,
Alex Rodriguez,0.295,"3,115",696,"2,086",,,,,,,,,,
Barry Bonds,0.298,"2,935",762,"1,996",514,,,,,,,,,
Vladimir Guerrero,0.318,"2,590",449,"1,496",,,,,,,,,,
Barry Bonds,0.298,"2,935",762,"1,996",514,,,,,,,,,
Alex Rodriguez,0.295,"3,115",696,"2,086",,,,,,,,,,
Albert Pujols,0.296,"3,384",703,"2,218",,,,,,,,,,
Justin Morneau,0.281,,247,985,,,,,,,,,,
Ryan Howard,0.258,,382,"1,194",,,,,,,,,,
Alex Rodriguez,0.295,"3,115",696,"2,086",,,,,,,,,,
Jimmy Rollins,0.264,"2,455",231,936,470,,,,,,,,,
Dustin Pedroia,0.299,,140,725,,,,,,,,,,
Albert Pujols,0.296,"3,384",703,"2,218",,,,,,,,,,
Joe Mauer,0.306,"2,123",143,923,,,,,,,,,,
Albert Pujols,0.296,"3,384",703,"2,218",,,,,,,,,,
Josh Hamilton,0.29,,200,701,,,,,,,,,,
Joey Votto,0.297,"2,093",342,"1,106",,,,,,,,,,
Justin Verlander,,,,,,,244-133,3.24,"3,198",,,,,
Ryan Braun,0.296,,352,"1,154",,,,,,,,,,
Miguel Cabrera,0.308,"3,088",507,"1,847",,,,,,,,,,
Buster Posey,0.302,"1,500",158,729,,,,,,,,,,
Miguel Cabrera,0.308,"3,088",507,"1,847",,,,,,,,,,
Andrew McCutchen,0.277,"1,948",287,"1,002",205,,,,,,,,,
Mike Trout,0.303,"1,543",350,896,204,,,,,,,,,
Clayton Kershaw,,,,,,,197-87,2.48,"2,807",,,,,1
Josh Donaldson,0.265,"1,285",266,790,,,,,,,,,,
Bryce Harper,0.28,"1,379",285,817,122,,,,,,,,,
Mike Trout,0.303,"1,543",350,896,204,,,,,,,,,
Kris Bryant,0.279,,172,501,,,,,,,,,,
José Altuve,0.307,"1,935",192,696,279,,,,,,,,,
Giancarlo Stanton,0.264,"1,383",378,971,,,,,,,,,,
Mookie Betts,0.293,"1,306",213,649,158,,,,,,,,,
Christian Yelich,0.287,"1,352",174,630,156,,,,,,,,,
Mike Trout,0.303,"1,543",350,896,204,,,,,,,,,
Cody Bellinger,0.248,,152,422,,,,,,,,,,
José Abreu,0.292,"1,445",243,863,,,,,,,,,,
Freddie Freeman,0.298,"1,903",292,"1,041",,,,,,,,,,
Shohei Ohtani,0.267,,127,342,,,28-14,2.96,441,,,,,
Bryce Harper,0.28,"1,379",285,817,122,,,,,,,,,
